shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10174,-20.277006,148.693254,50014
10174,-20.276981,148.693271,50015
10174,-20.276959,148.693291,50016
10174,-20.276941,148.693316,50017
10174,-20.276929,148.693345,50018
10174,-20.276923,148.693386,50019
10174,-20.276923,148.693408,50020
10174,-20.276929,148.693439,50021
10174,-20.276941,148.693468,50022
10174,-20.276959,148.693493,50023
10174,-20.276981,148.693514,50024
10174,-20.277006,148.693530,50025
10174,-20.277011,148.693858,50026
10174,-20.277025,148.694324,50027
10174,-20.277025,148.694391,50028
10174,-20.277025,148.694391,60001
10174,-20.277028,148.695206,60002
10174,-20.277037,148.695592,60003
10174,-20.277045,148.696269,60004
10174,-20.277025,148.696281,60005
10174,-20.276998,148.696307,60006
10174,-20.276976,148.696339,60007
10174,-20.276961,148.696375,60008
10174,-20.276953,148.696413,60009
10174,-20.276954,148.696459,60010
10174,-20.276961,148.696491,60011
10174,-20.276976,148.696527,60012
10174,-20.276998,148.696559,60013
10174,-20.277025,148.696585,60014
10174,-20.277057,148.696605,60015
10174,-20.277077,148.696612,60016
10174,-20.277218,148.697623,60017
10174,-20.277275,148.698324,60018
10174,-20.277272,148.698704,60019
10174,-20.277231,148.699009,60020
10174,-20.277160,148.699317,60021
10174,-20.277258,148.699342,60022
10174,-20.277488,148.699402,60023
10174,-20.278019,148.699663,60024
10174,-20.278316,148.699847,60025
10174,-20.278316,148.699847,70001
10174,-20.278811,148.700156,70002
10174,-20.278751,148.700373,70003
10174,-20.278819,148.700609,70004
10174,-20.279044,148.700820,70005
10174,-20.279344,148.700741,70006
10174,-20.279422,148.700664,70007
10174,-20.279501,148.700566,70008
10174,-20.279530,148.700386,70009
10174,-20.279472,148.700183,70010
10174,-20.279325,148.700027,70011
10174,-20.279179,148.699987,70012
10174,-20.279051,148.700017,70013
10174,-20.278939,148.700053,70014
10174,-20.278811,148.700156,70015
10174,-20.278019,148.699663,70016
10174,-20.277488,148.699402,70017
10174,-20.277258,148.699342,70018
10174,-20.277160,148.699317,70019
10174,-20.277012,148.699710,70020
